iter	Passed	Remaining
0	100	9986
1	137	6739
2	248	8033
3	379	9099
4	480	9138
5	600	9414
6	749	9958
7	956	10999
8	1128	11406
9	1300	11704
10	1470	11895
11	1633	11982
12	1796	12019
13	1960	12041
14	2136	12107
15	2357	12377
16	2553	12468
17	2743	12500
18	2976	12691
19	3191	12765
20	3375	12699
21	3570	12659
22	3756	12576
23	3930	12446
24	4112	12337
25	4292	12218
26	4485	12128
27	4650	11959
28	4813	11784
29	4987	11636
30	5159	11483
31	5347	11363
32	5529	11225
33	5710	11086
34	5871	10904
35	6030	10720
36	6188	10537
37	6367	10389
38	6529	10212
39	6692	10038
40	6856	9866
41	7019	9693
42	7181	9519
43	7346	9350
44	7509	9177
45	7670	9004
46	7831	8831
47	8039	8709
48	8221	8557
49	8406	8406
50	8568	8232
51	8732	8060
52	8915	7905
53	9077	7732
54	9243	7562
55	9414	7396
56	9600	7242
57	9775	7078
58	9992	6943
59	10213	6808
60	10469	6693
61	10764	6597
62	11008	6465
63	11253	6330
64	11466	6174
65	11661	6007
66	11839	5831
67	12026	5659
68	12191	5477
69	12349	5292
70	12518	5113
71	12680	4931
72	12843	4750
73	13038	4580
74	13220	4406
75	13391	4228
76	13567	4052
77	13731	3872
78	13902	3695
79	14056	3514
80	14247	3341
81	14447	3171
82	14616	2993
83	14787	2816
84	14946	2637
85	15138	2464
86	15360	2295
87	15534	2118
88	15706	1941
89	15879	1764
90	16041	1586
91	16214	1409
92	16413	1235
93	16584	1058
94	16736	880
95	16898	704
96	17060	527
97	17248	352
98	17430	176
99	17598	0
