iter	Passed	Remaining
0	111	11062
1	238	11691
2	340	11005
3	383	9213
4	416	7919
5	488	7652
6	558	7424
7	625	7195
8	747	7555
9	865	7792
10	910	7364
11	936	6869
12	968	6483
13	1036	6366
14	1114	6315
15	1180	6195
16	1282	6263
17	1397	6364
18	1481	6316
19	1526	6105
20	1645	6188
21	1701	6032
22	1802	6035
23	1848	5855
24	1963	5889
25	2026	5767
26	2121	5736
27	2240	5762
28	2285	5595
29	2398	5595
30	2515	5600
31	2595	5514
32	2715	5513
33	2882	5594
34	2949	5477
35	3015	5361
36	3062	5214
37	3125	5099
38	3204	5012
39	3322	4984
40	3437	4947
41	3492	4823
42	3553	4710
43	3613	4598
44	3732	4561
45	3849	4519
46	3877	4372
47	3975	4307
48	4019	4183
49	4132	4132
50	4229	4063
51	4347	4012
52	4465	3959
53	4527	3856
54	4616	3777
55	4661	3662
56	4814	3631
57	4843	3507
58	4909	3412
59	5002	3334
60	5110	3267
61	5188	3179
62	5327	3128
63	5437	3058
64	5568	2998
65	5597	2883
66	5642	2779
67	5765	2713
68	5892	2647
69	5993	2568
70	6123	2501
71	6243	2428
72	6326	2339
73	6371	2238
74	6432	2144
75	6462	2040
76	6593	1969
77	6720	1895
78	6837	1817
79	6955	1738
80	7073	1659
81	7190	1578
82	7217	1478
83	7245	1380
84	7342	1295
85	7403	1205
86	7484	1118
87	7556	1030
88	7673	948
89	7796	866
90	7859	777
91	7886	685
92	7914	595
93	7960	508
94	8111	426
95	8190	341
96	8235	254
97	8350	170
98	8466	85
99	8565	0
