iter	Logloss
0	0.3257004503
1	0.2473243915
2	0.2135218949
3	0.1926605303
4	0.1827479251
5	0.1791014391
6	0.176138448
7	0.1755623413
8	0.1750865667
9	0.1743791724
10	0.1737469903
11	0.1734932583
12	0.1729960357
13	0.1725958465
14	0.1724408883
15	0.1718620557
16	0.1716770603
17	0.1703466734
18	0.1701405319
19	0.1698504527
20	0.1691155294
21	0.1688662059
22	0.1687975093
23	0.1683204531
24	0.1677025873
25	0.1670163733
26	0.1666684379
27	0.1663298819
28	0.1661901028
29	0.1660790729
30	0.1658323012
31	0.1654332135
32	0.1651104066
33	0.1648591094
34	0.164515696
35	0.163707866
36	0.1634311802
37	0.1632213548
38	0.1629432178
39	0.1627286228
40	0.1626393643
41	0.1623523878
42	0.1621360563
43	0.1619560777
44	0.1617833872
45	0.1614792067
46	0.1610275265
47	0.1606672472
48	0.1605268083
49	0.160439481
50	0.1602494596
51	0.1600080367
52	0.159786785
53	0.1590506502
54	0.1589726129
55	0.1585921869
56	0.1585257589
57	0.1582193376
58	0.158153369
59	0.1580082358
60	0.1578858369
61	0.1577160682
62	0.1574496448
63	0.1573295786
64	0.1571347395
65	0.1570736598
66	0.1567277618
67	0.156490048
68	0.1560478003
69	0.1559035996
70	0.155802878
71	0.155646869
72	0.1553951059
73	0.1551776022
74	0.1549143761
75	0.1548002257
76	0.1547211551
77	0.1544422809
78	0.1541527477
79	0.1540573835
80	0.153597932
81	0.1534884776
82	0.1529870529
83	0.1528709936
84	0.1527126923
85	0.152462158
86	0.1523037505
87	0.1518377941
88	0.151679759
89	0.1514929196
90	0.1511945184
91	0.150690897
92	0.1506268631
93	0.1505586839
94	0.1503417414
95	0.1502166236
96	0.1498966425
97	0.1496540793
98	0.1495562051
99	0.1493469557
