,LoanID,MonthRep,Servicer,CurrInterestRate,CAUPB,LoanAge,MonthsToMaturity,AdMonthsToMaturity,MaturityDate,MSA,CLDS,ModFlag,ZeroBalCode,ZeroBalDate,LastInstallDate,ForeclosureDate,DispositionDate,ForeclosureCosts,PPRC,AssetRecCost,MHEC,ATFHP,NetSaleProceeds,CreditEnhProceeds,RPMWP,OFP,NIBUPB,PFUPB,RMWPF,FPWA,ServicingIndicator,Arrears,Arrears_3m,Arrears_6m,Arrears_9m,Arrears_12m,0
478929,106826030850.0,03/01/2016,,3.625,103595.27,16.0,164.0,160.0,11/2029,19660,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
9671,100153274607.0,06/01/2016,,4.75,110702.69,49.0,311.0,311.0,05/2042,44700,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
747903,110583893218.0,06/01/2017,,4.875,228080.45,92.0,268.0,268.0,10/2039,40060,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
716840,110173359184.0,06/01/2016,,2.875,82377.72,35.0,145.0,145.0,07/2028,33660,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,1.0,2.0,4.0,4.0,
684819,109698536109.0,06/01/2017,,4.5,188723.31,67.0,293.0,293.0,11/2041,13460,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
26167,100412201645.0,12/01/2016,,4.5,136943.27,57.0,303.0,303.0,03/2042,38060,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
482617,106880857061.0,06/01/2016,,3.25,114172.25,37.0,143.0,141.0,05/2028,16980,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
965541,113647887918.0,12/01/2017,,4.125,137862.56,59.0,301.0,301.0,01/2043,38060,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
382250,105459908452.0,09/01/2016,,3.375,157700.25,50.0,130.0,120.0,07/2027,39820,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
17848,100284479130.0,12/01/2016,,4.375,311191.44,71.0,289.0,288.0,01/2041,16980,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
308438,104436939954.0,06/01/2017,,4.375,128153.82,47.0,313.0,312.0,07/2043,19820,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
226138,103232497644.0,06/01/2017,,5.5,166375.27,74.0,286.0,275.0,04/2041,16860,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
945663,113342821999.0,09/01/2016,,3.875,361051.12,37.0,323.0,323.0,08/2043,41740,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
391555,105602097585.0,06/01/2016,,3.625,164515.39,15.0,165.0,165.0,03/2030,12580,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
220366,103147249181.0,09/01/2017,,4.875,49620.91,74.0,166.0,161.0,07/2031,40900,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
572495,108155759930.0,09/01/2017,,3.75,153762.06,67.0,293.0,199.0,02/2042,33460,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
682650,109658965233.0,06/01/2017,,4.875,76093.16,34.0,146.0,139.0,08/2029,12060,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
192784,102778383336.0,03/01/2016,,4.75,151640.56,46.0,314.0,0.0,05/2042,29820,1.0,N,1.0,03/2016,,,,,,,,,,,,,,,N,,,1.0,1.0,1.0,1.0,1.0,
938525,113229857887.0,12/01/2016,,5.25,159143.23,78.0,282.0,281.0,06/2040,12060,1.0,N,,,,,,,,,,,,,,,,,,,N,1.0,0.0,0.0,0.0,11.0,
